Rank	Title	Studio	Worldwide	Domestic	DomesticPercent	Overseas	OverseasPercent
99	Fences	Par.	$64.4	$57.7	89.5%	$6.7	10.5%
100	The Boy (2016)	STX	$64.2	$35.8	55.8%	$28.4	44.2%
101	Hail, Caesar!	Uni.	$63.6	$30.5	47.9%	$33.1	52.1%
102	The Nice Guys	WB	$62.8	$36.3	57.8%	$26.5	42.2%
103	L.O.R.D: Legend of Ravaging Dynasties	AR	$58.1	$350k	0.6%	$57.7	99.4%
104	Nine Lives (2016)	EC	$57.8	$19.7	34.1%	$38.1	65.9%
105	Zoolander 2	Par.	$56.7	$28.8	50.9%	$27.9	49.1%
106	Barbershop: The Next Cut	WB (NL)	$55.0	$54.0	98.2%	$1.0	1.8%
107	The Finest Hours	BV	$52.1	$27.6	52.9%	$24.5	47.1%
108	Master	CJ	$51.6	$597k	1.2%	$51.0	98.8%
109	Patriots Day	LGF	$50.5	$31.9	63.1%	$18.7	36.9%
110	Florence Foster Jenkins	Par.	$48.9	$27.4	56.0%	$21.5	44.0%
111	Mother's Day	ORF	$48.4	$32.5	67.1%	$15.9	32.9%
112	Luck-Key	JBG	$48.2	$467k	1.0%	$47.7	99.0%
113	Yo-kai Watch: The Movie	Elev.	$47.9	$257k	0.5%	$47.6	99.5%
114	A Monster Calls	Focus	$47.3	$3.7	7.9%	$43.6	92.1%
115	Eddie the Eagle	Fox	$46.2	$15.8	34.2%	$30.4	65.8%
116	Risen	Sony	$46.1	$36.9	80.1%	$9.2	19.9%
117	Blair Witch	LGF	$45.2	$20.8	46.0%	$24.4	54.0%
118	Cafe Society	LGF	$43.8	$11.1	25.4%	$32.7	74.6%
119	Almost Christmas	Uni.	$42.5	$42.1	99.0%	$422k	1.0%
120	The Witch	A24	$40.4	$25.1	62.2%	$15.3	37.8%
121	The Wild Life (2016)	LG/S	$39.5	$8.0	20.2%	$31.5	79.8%
122	Criminal (2016)	LG/S	$38.8	$14.7	37.9%	$24.1	62.1%
123	Absolutely Fabulous: The Movie	FoxS	$37.9	$4.8	12.6%	$33.1	87.4%
124	Hell or High Water	LGF	$37.9	$27.0	71.3%	$10.9	28.7%
125	The Forest	Focus	$37.6	$26.6	70.7%	$11.0	29.3%
126	Snowden	ORF	$37.3	$21.6	57.9%	$15.7	42.1%
127	Billy Lynn's Long Halftime Walk	TriS	$30.9	$1.7	5.6%	$29.2	94.4%
128	When the Bough Breaks	SGem	$30.7	$29.7	97.0%	$911k	3.0%
129	Nocturnal Animals	Focus	$30.1	$10.7	35.5%	$19.4	64.5%
130	Keeping Up with the Joneses	Fox	$29.9	$14.9	49.8%	$15.0	50.2%
131	Ae Dil Hai Mushkil	FIP	$28.4	$4.3	15.0%	$24.1	85.0%
132	Fan	Yash	$28.2	$2.3	8.1%	$25.9	91.9%
133	M.S. Dhoni: The Untold Story	FIP	$27.8	$1.8	6.5%	$26.0	93.5%
134	The Light Between Oceans	BV	$26.0	$12.5	48.3%	$13.4	51.7%
135	The Brothers Grimsby	Sony	$25.2	$6.9	27.3%	$18.3	72.7%
136	Race (2016)	Focus	$25.1	$19.2	76.6%	$5.9	23.4%
137	Free State of Jones	STX	$25.0	$20.8	83.1%	$4.2	16.9%
138	God's Not Dead 2	PFR	$24.5	$20.8	84.8%	$3.7	15.2%
139	Silence (2016)	Par.	$23.7	$7.1	29.9%	$16.6	70.1%
140	Middle School: The Worst Years of My Life	LGF	$23.3	$20.0	85.8%	$3.3	14.2%
141	Triple 9	ORF	$23.1	$12.6	54.7%	$10.5	45.3%
142	Whiskey Tango Foxtrot	Par.	$23.1	$23.1	100.0%	n/a	0.0%
143	Live By Night	WB	$22.7	$10.4	45.8%	$12.3	54.2%
144	Julieta	SPC	$22.5	$1.5	6.6%	$21.0	93.4%
145	Solace	LGP	$22.4	n/a	0.0%	$22.4	100.0%
146	Fifty Shades of Black	ORF	$22.2	$11.7	52.6%	$10.5	47.4%
147	Keanu	WB (NL)	$20.6	$20.6	100.0%	n/a	0.0%
148	El Clan	FIP	$20.4	$201k	1.0%	$20.2	99.0%
149	The Edge of Seventeen	STX	$18.8	$14.4	76.7%	$4.4	23.3%
150	The Choice	LGF	$18.7	$18.7	100.0%	n/a	0.0%
151	Eye in the Sky	BST	$18.7	$18.7	100.0%	n/a	0.0%
152	A Beautiful Planet	Imax	$18.1	$12.4	68.5%	$5.7	31.5%
153	Bad Santa 2	BG	$17.8	$17.8	100.0%	n/a	0.0%
154	Regression	W/Dim.	$17.7	$55.0k	0.3%	$17.6	99.7%
155	Neerja	FIP	$17.6	$1.6	9.0%	$16.0	91.0%
156	Masterminds (2016)	Rela.	$17.4	$17.4	100.0%	n/a	0.0%
157	Norm of the North	LGF	$17.1	$17.1	100.0%	n/a	0.0%
158	Hardcore Henry	STX	$16.8	$9.3	55.0%	$7.6	45.0%
159	Pride and Prejudice and Zombies	SGem	$16.4	$10.9	66.7%	$5.5	33.3%
160	The Infiltrator	BG	$15.4	$15.4	100.0%	n/a	0.0%
161	Kapoor & Sons - Since 1921	FIP	$15.4	$2.6	16.9%	$12.8	83.1%
162	The Take (2016)	HTR	$14.9	$50.3k	0.3%	$14.8	99.7%
163	Sword Master	WGUSA	$14.7	$75.5k	0.5%	$14.6	99.5%
164	Hello, My Name is Doris	RAtt.	$14.4	$14.4	100.0%	n/a	0.0%
165	The Other Side of the Door	Fox	$14.3	$3.0	20.9%	$11.3	79.1%
166	Love & Friendship	RAtt.	$14.0	$14.0	100.0%	n/a	0.0%
167	Jackie	FoxS	$14.0	$14.0	100.0%	n/a	0.0%
168	Sing Street	Wein.	$13.6	$3.2	23.8%	$10.4	76.2%
169	Shut In	EC	$13.1	$6.9	52.7%	$6.2	47.3%
170	Loving	Focus	$12.9	$7.7	59.8%	$5.2	40.2%
171	The Beatles: Eight Days a Week - The Touring Years	Abr.	$12.3	$2.9	23.9%	$9.4	76.1%
172	The Man Who Knew Infinity	IFC	$12.3	$3.9	31.6%	$8.4	68.4%
173	No Manches Frida	PNT	$11.5	$11.5	100.0%	n/a	0.0%
174	The Darkness	BH Tilt	$10.8	$10.8	100.0%	n/a	0.0%
175	Our Kind of Traitor	RAtt.	$10.7	$3.2	29.4%	$7.6	70.6%
176	The Perfect Match	LGF	$10.4	$9.7	92.8%	$745k	7.2%
177	Queen of Katwe	BV	$10.4	$8.9	85.6%	$1.5	14.4%
178	Miss Sloane	EC	$9.1	$3.5	38.5%	$5.6	61.5%
179	Ratchet & Clank	Focus	$8.8	$8.8	100.0%	n/a	0.0%
180	Morgan	Fox	$8.8	$3.9	44.4%	$4.9	55.6%
181	The Lobster (US Release)	A24	$8.7	$8.7	100.0%	n/a	0.0%
182	My King (Mon roi)	FM	$8.0	$54.1k	0.7%	$7.9	99.3%
183	A Bigger Splash	FoxS	$7.5	$2.0	26.8%	$5.5	73.2%
184	Southside with You	RAtt.	$6.5	$6.3	96.8%	$208k	3.2%
185	The Young Messiah	Focus	$6.5	$6.5	100.0%	n/a	0.0%
186	Incarnate	BH Tilt	$6.3	$4.8	75.7%	$1.5	24.3%
187	Max Steel	ORF	$6.3	$3.8	60.9%	$2.5	39.1%
188	Midnight Special	WB	$6.2	$3.7	59.8%	$2.5	40.2%
189	The Duelist	Sony	$6.1	$13.5k	0.2%	$6.1	99.8%
190	The Autopsy of Jane Doe	IFC	$6.0	n/a	0.0%	$6.0	100.0%
191	Captain Fantastic	BST	$5.9	$5.9	100.0%	n/a	0.0%
192	My Best Friend's Wedding (2016)	Sony	$5.7	$78.6k	1.4%	$5.6	98.6%
193	Genius	RAtt.	$5.7	$1.4	24.0%	$4.3	76.0%
194	20th Century Women	A24	$5.7	$5.7	100.0%	n/a	0.0%
195	Hunt for the Wilderpeople	Orch.	$5.2	$5.2	100.0%	n/a	0.0%
196	Bleed for This	ORF	$5.1	$5.1	100.0%	n/a	0.0%
197	Hands of Stone	Wein.	$4.7	$4.7	100.0%	n/a	0.0%
198	Men & Chicken	Drft.	$4.6	$30.2k	0.7%	$4.6	99.3%
199	The Meddler	SPC	$4.3	$4.3	100.0%	n/a	0.0%
200	A Hologram for the King	RAtt.	$4.2	$4.2	100.0%	n/a	0.0%
201	Swiss Army Man	A24	$4.2	$4.2	100.0%	n/a	0.0%
202	Denial	BST	$4.1	$4.1	100.0%	n/a	0.0%
